Points_0,Points_1,pressure,TKE,TKED,vel_0,vel_1,vel_Magnitude,yplus,tau_w,,,
-0.0484638,0.0005,-212.497,11.1358,34619.5,26.4927,0.0120264,26.4634,58.2159,3.772344556,,,
-0.0454257,0.0005,-213.586,10.9635,33631.5,26.4168,0.0346657,26.4924,58.1397,3.757389111,,,58.203
-0.0424555,0.0005,-214.632,11.136,34771.2,26.3441,0.0292727,26.2701,58.0729,3.743421854,,,58.1109
-0.0395516,0.0005,-215.492,10.8665,32905.7,26.2825,0.0384249,26.3496,58.0181,3.731699961,,,58.2114
-0.0367127,0.0005,-216.551,11.0969,34989.2,26.2344,0.0266974,26.1171,57.9775,3.72267487,,,57.7171
-0.0339371,0.0005,-217.77,10.876,32429.9,26.1989,0.0319993,26.2547,57.952,3.716260126,,,58.3645
-0.0312236,0.0005,-219.134,10.9672,34921.5,26.1753,0.0235022,26.0332,57.9421,3.712378268,,,57.334
-0.0285706,0.0005,-220.7,11.0207,32660.9,26.1631,0.0207037,26.1958,57.9476,3.710944638,,,58.6178
-0.025977,0.0005,-222.379,10.7993,34250.3,26.1636,0.0204724,26.0223,57.9709,3.71227233,,,57.0189
-0.0234413,0.0005,-224.34,11.1706,33677.4,26.1781,0.0119692,26.165,58.0137,3.716639377,,,58.9263
-0.0209622,0.0005,-226.394,10.7871,33353.6,26.2063,0.00885653,26.0731,58.0751,3.723959693,,,56.8221
-0.0185385,0.0005,-228.812,11.1221,34683.3,26.2485,0.01598,26.1879,58.1545,3.73425154,,,59.1864
-0.016169,0.0005,-231.327,11.0767,33315.6,26.3053,-0.0164447,26.1446,58.2512,3.747573514,,,56.9494
-0.0138524,0.0005,-234.353,10.8376,34548.4,26.3776,0.0248883,26.3058,58.3649,3.764051944,,,59.1093
-0.0115875,0.0005,-237.37,11.5693,34907.2,26.4667,-0.0323822,26.2353,58.4957,3.783895925,,,57.6772
-0.00937328,0.0005,-241.464,10.5251,33093.2,26.5751,0.00309041,26.4684,58.6442,3.807518636,,,58.65
-0.0072085,0.0005,-244.929,12.0098,37596.4,26.7065,-0.0172,26.4932,58.8122,3.835578961,,,58.5628
-0.00509208,0.0005,-251.002,10.3091,31496.4,26.8677,-0.0350149,26.5413,59.0035,3.869304606,,,58.8042
-0.00302294,0.0005,-255.822,12.5993,40208.5,27.0697,-0.0639811,27.0273,59.2262,3.910792061,,,58.2084
-0.00100003,0.0005,-264.907,9.61949,29925,27.3714,0.0115076,26.7996,59.5391,3.971980814,,,60.8517
0.000625,-0.0126,-274.052,-0.0401385,0.000111921,0.124164,-0.209648,0.243658,0.00450785,-3.48E-06,,,56.0478
0.001875,-0.0126,-274.108,-0.616922,4.35E-14,-0.109052,-0.0769538,0.13347,2.08E-07,3.36E-11,,,
0.003125,-0.0126,-274.693,0.777088,814.702,-1.4581,0.372593,1.50495,12.3849,-0.073033451,,,
0.004375,-0.0126,-275.912,0.972183,1123.64,-1.86275,0.195551,1.87299,13.8159,-0.101762386,,,
0.005625,-0.0126,-277.146,1.40313,1946.2,-2.58576,0.196038,2.59318,16.5929,-0.163548448,,,
0.006875,-0.0126,-278.505,1.73105,2659.54,-3.02676,0.160059,3.03098,18.4201,-0.208248296,,,
0.008125,-0.0126,-279.812,2.10338,3558.7,-3.56375,0.154591,3.5671,20.3002,-0.265257351,,,
0.009375,-0.0126,-281.175,2.46688,4515.15,-3.99317,0.143808,3.99575,21.9795,-0.31704445,,,
0.010625,-0.0126,-282.521,2.85931,5630.93,-4.46498,0.140936,4.46721,23.6601,-0.376446132,,,
0.011875,-0.0126,-283.9,3.26361,6863.23,-4.89002,0.135962,4.89191,25.2747,-0.435139936,,,
0.013125,-0.0126,-285.256,3.69506,8265.78,-5.33351,0.133416,5.33518,26.8916,-0.499346358,,,
0.014375,-0.0126,-286.593,4.14579,9821.63,-5.75175,0.129382,5.7532,28.4833,-0.56455146,,,
0.015625,-0.0126,-287.857,4.62358,11566.4,-6.17386,0.126048,6.17514,30.079,-0.633794638,,,
0.016875,-0.0126,-289.016,5.12472,13496.3,-6.57609,0.12175,6.57722,31.6667,-0.704346741,,,
0.018125,-0.0126,-290.009,5.6436,15596.8,-6.97261,0.117333,6.9736,33.231,-0.777175346,,,
0.019375,-0.0126,-290.791,6.1792,17868.9,-7.3486,0.111842,7.34945,34.7721,-0.850403691,,,
0.020625,-0.0126,-291.294,6.72907,20306.1,-7.70943,0.10588,7.71016,36.2863,-0.924251999,,,
0.021875,-0.0126,-291.461,7.28961,22895,-8.04568,0.0989858,8.04629,37.7673,-0.997138301,,,
0.023125,-0.0126,-291.219,7.85826,25624.6,-8.35839,0.0915225,8.35889,39.2125,-1.0687446,,,
0.024375,-0.0126,-290.506,8.43083,28474,-8.64112,0.0832898,8.64152,40.6156,-1.137708069,,,
0.025625,-0.0126,-289.254,9.00421,31425.6,-8.89308,0.0745282,8.8934,41.9735,-1.203414645,,,
0.026875,-0.0126,-287.402,9.57417,34453.9,-9.10984,0.0651903,9.11007,43.2811,-1.264702764,,,
0.028125,-0.0126,-284.898,10.1373,37535.8,-9.29021,0.0554632,9.29037,44.5352,-1.320876163,,,
0.029375,-0.0126,-281.699,10.6896,40643,-9.43138,0.0453873,9.43149,45.7319,-1.370997523,,,
0.030625,-0.0126,-277.773,11.2277,43749.1,-9.53253,0.0351238,9.53259,46.8684,-1.414448716,,,
0.031875,-0.0126,-273.103,11.748,46824.7,-9.59223,0.0247276,9.59227,47.942,-1.45054902,,,
0.033125,-0.0126,-267.686,12.2475,49842.4,-9.61028,0.0143315,9.6103,48.9504,-1.478841371,,,
0.034375,-0.0126,-261.532,12.723,52773.8,-9.58634,0.00399633,9.58634,49.8918,-1.498900447,,,
0.035625,-0.0126,-254.664,13.1721,55592.5,-9.52081,-0.00619398,9.52082,50.7647,-1.510467358,,,
0.036875,-0.0126,-247.116,13.5923,58273,-9.41419,-0.0161931,9.4142,51.568,-1.513358567,,,
0.038125,-0.0126,-238.932,13.9815,60791.9,-9.26743,-0.025951,9.26746,52.3009,-1.50752092,,,
0.039375,-0.0126,-230.166,14.3379,63128.2,-9.08164,-0.0354386,9.08171,52.9629,-1.492986926,,,
0.040625,-0.0126,-220.878,14.6602,65263.9,-8.85828,-0.0446279,8.8584,53.5543,-1.469916882,,,
0.041875,-0.0126,-211.138,14.9474,67184,-8.59899,-0.0535021,8.59916,54.0754,-1.438550305,,,
0.043125,-0.0126,-201.016,15.1987,68876.8,-8.30564,-0.0620511,8.30588,54.5269,-1.399220951,,,
0.044375,-0.0126,-190.589,15.4137,70333.7,-7.98031,-0.0702889,7.98062,54.91,-1.352351578,,,
0.045625,-0.0126,-179.936,15.5926,71550,-7.62526,-0.0782819,7.62566,55.2261,-1.298437459,,,
0.046875,-0.0126,-169.135,15.7356,72524.3,-7.24289,-0.0859514,7.2434,55.477,-1.238038331,,,
0.048125,-0.0126,-158.265,15.8435,73258.6,-6.83573,-0.0932867,6.83637,55.6651,-1.17177362,,,
0.049375,-0.0126,-147.401,15.9173,73757.7,-6.40638,-0.100294,6.40717,55.7926,-1.100290654,,,
0.050625,-0.0126,-136.616,15.958,74028.9,-5.95747,-0.106985,5.95844,55.8622,-1.0242645,,,
0.051875,-0.0126,-125.976,15.9673,74081.9,-5.49164,-0.11338,5.49281,55.8768,-0.944382222,,,
0.053125,-0.0126,-115.544,15.9468,73928,-5.01149,-0.119505,5.01292,55.8392,-0.861324205,,,
0.054375,-0.0126,-105.373,15.8981,73580,-4.51954,-0.125401,4.52128,55.7524,-0.775756824,,,
0.055625,-0.0126,-95.5112,15.8229,73050.1,-4.01821,-0.131114,4.02035,55.6191,-0.688318443,,,
0.056875,-0.0126,-85.9987,15.7235,72355.4,-3.50981,-0.136705,3.51247,55.4429,-0.599627016,,,
0.058125,-0.0126,-76.8685,15.6017,71510.9,-2.99648,-0.142244,2.99985,55.2269,-0.510250048,,,
0.059375,-0.0126,-68.146,15.4596,70531.7,-2.48019,-0.147817,2.48459,54.974,-0.420707471,,,
0.060625,-0.0126,-59.8501,15.2991,69433.3,-1.96266,-0.153552,1.96866,54.6874,-0.33146028,,,
0.061875,-0.0126,-51.9948,15.1224,68232.5,-1.44558,-0.159682,1.45438,54.3704,-0.242943842,,,
0.063125,-0.0126,-44.5904,14.9318,66945.3,-0.931848,-0.16621,0.946555,54.0264,-0.15577285,,,
0.064375,-0.0126,-37.6236,14.7283,65581.3,-0.421516,-0.169813,0.454436,53.657,-0.070057818,,,
0.065625,-0.0126,-31.1049,14.5553,64437,0.0857481,-0.169466,0.189925,53.3422,0.014181423,,,
0.066875,-0.0126,-25.0238,14.5691,64526.1,0.589911,-0.168442,0.613488,53.367,0.097600355,,,
0.068125,-0.0126,-19.365,14.5655,64500.8,1.08551,-0.159948,1.09723,53.3602,0.17957763,,,
0.069375,-0.0126,-14.1219,14.544,64357.2,1.57322,-0.150699,1.58043,53.3207,0.260098387,,,
0.070625,-0.0126,-9.29068,14.5097,64128.7,2.05286,-0.142216,2.05778,53.2575,0.339058626,,,
0.071875,-0.0126,-4.84925,14.4648,63831.3,2.52271,-0.134555,2.5263,53.1751,0.416119287,,,
0.073125,-0.0126,-0.777384,14.4109,63474.8,2.98246,-0.127571,2.98519,53.0759,0.491183632,,,
0.074375,-0.0126,2.94383,14.3491,63067,3.43201,-0.121165,3.43415,52.962,0.564201281,,,
0.075625,-0.0126,6.33348,14.2805,62614.8,3.87123,-0.11526,3.87295,52.8352,0.635126267,,,
0.076875,-0.0126,9.41063,14.2059,62124.5,4.3,-0.109821,4.3014,52.697,0.703921445,,,
0.078125,-0.0126,12.1942,14.1257,61598.9,4.71822,-0.104886,4.71939,52.548,0.770550638,,,
0.079375,-0.0126,14.7027,14.0409,61045,5.12587,-0.100316,5.12685,52.3901,0.835012644,,,
0.080625,-0.0126,16.9543,13.9523,60467.2,5.52294,-0.0960544,5.52378,52.2243,0.897304586,,,
0.081875,-0.0126,18.9665,13.8604,59870.1,5.90948,-0.0920665,5.91019,52.052,0.957445003,,,
0.083125,-0.0126,20.7562,13.7658,59257.6,6.28555,-0.0883282,6.28617,51.874,1.015450907,,,
0.084375,-0.0126,22.3395,13.6691,58633.3,6.65125,-0.0848169,6.65179,51.6913,1.071353248,,,
0.085625,-0.0126,23.732,13.5706,58000.1,7.00671,-0.0815128,7.00719,51.5047,1.125188593,,,
0.086875,-0.0126,24.9481,13.4709,57360.9,7.35208,-0.0783986,7.3525,51.3149,1.176998196,,,
0.088125,-0.0126,26.0017,13.3702,56718.1,7.68752,-0.0754572,7.68789,51.1226,1.226827705,,,
0.089375,-0.0126,26.9058,13.2689,56073.7,8.0132,-0.0726722,8.01353,50.9284,1.274724848,,,
0.090625,-0.0126,27.6727,13.1672,55429.7,8.32932,-0.0700288,8.32961,50.7328,1.320741977,,,
0.091875,-0.0126,28.314,13.0655,54788,8.63606,-0.0675153,8.63632,50.5364,1.36493206,,,
0.093125,-0.0126,28.8403,12.964,54150.2,8.93364,-0.0651237,8.93388,50.3396,1.40735142,,,
0.094375,-0.0126,29.2619,12.863,53518.1,9.22229,-0.062844,9.2225,50.143,1.448063696,,,
0.095625,-0.0126,29.588,12.7627,52893.2,9.50222,-0.0606691,9.50241,49.9471,1.487128283,,,
0.096875,-0.0126,29.8276,12.6633,52276.6,9.77366,-0.0585928,9.77384,49.7522,1.524603568,,,
0.098125,-0.0126,29.9886,12.5651,51669.6,10.0369,-0.0566093,10.037,49.5589,1.560565475,,,
0.099375,-0.0126,30.0786,12.4681,51073.3,10.2921,-0.0547139,10.2922,49.3674,1.59505989,,,
0.100625,-0.0126,30.1045,12.3726,50488.3,10.5395,-0.0529016,10.5396,49.1781,1.628150629,,,
0.101875,-0.0126,30.0728,12.2787,49915.6,10.7794,-0.051168,10.7795,48.9913,1.659908254,,,
0.103125,-0.0126,29.9892,12.1865,49355.7,11.0121,-0.0495089,11.0122,48.8072,1.690400341,,,
0.104375,-0.0126,29.8593,12.0961,48809.1,11.2377,-0.0479209,11.2378,48.6262,1.719669424,,,
0.105625,-0.0126,29.6881,12.0076,48276.2,11.4565,-0.0464009,11.4566,48.4483,1.747776924,,,
0.106875,-0.0126,29.4799,11.9211,47757.4,11.6687,-0.0449459,11.6688,48.2738,1.77477741,,,
0.108125,-0.0126,29.2391,11.8367,47252.8,11.8747,-0.0435527,11.8747,48.1029,1.800752634,,,
0.109375,-0.0126,28.9694,11.7543,46762.8,12.0745,-0.0422184,12.0746,47.9357,1.825720064,,,
0.110625,-0.0126,28.6743,11.6741,46287.3,12.2685,-0.0409404,12.2685,47.7723,1.84975735,,,
0.111875,-0.0126,28.3569,11.596,45826.5,12.4568,-0.0397164,12.4568,47.6128,1.872896217,,,
0.113125,-0.0126,28.0202,11.5201,45380.3,12.6396,-0.0385442,12.6397,47.4573,1.895183081,,,
0.114375,-0.0126,27.6668,11.4465,44948.6,12.8173,-0.0374213,12.8173,47.306,1.916697193,,,
0.115625,-0.0126,27.299,11.375,44531.5,12.9899,-0.0363456,12.9899,47.1587,1.9374438,,,
0.116875,-0.0126,26.9191,11.3058,44128.6,13.1576,-0.035315,13.1577,47.0156,1.957471151,,,
0.118125,-0.0126,26.529,11.2388,43739.9,13.3207,-0.0343276,13.3208,46.8767,1.976835019,,,
0.119375,-0.0126,26.1305,11.1739,43365,13.4793,-0.0333816,13.4794,46.7419,1.995557252,,,
0.120625,-0.0126,25.7252,11.1113,43003.6,13.6337,-0.0324751,13.6337,46.6112,2.013692246,,,
0.121875,-0.0126,25.3146,11.0507,42655.4,13.7838,-0.0316065,13.7839,46.4846,2.03123476,,,
0.123125,-0.0126,24.9001,10.9922,42319.9,13.93,-0.030774,13.93,46.3619,2.048245545,,,
0.124375,-0.0126,24.4828,10.9356,41996.7,14.0723,-0.0299762,14.0723,46.2432,2.064736775,,,
0.125625,-0.0126,24.0637,10.881,41685.2,14.2109,-0.0292115,14.211,46.1281,2.080730961,,,
0.126875,-0.0126,23.6439,10.8283,41384.8,14.346,-0.028478,14.346,46.0167,2.096268587,,,
0.128125,-0.0126,23.2242,10.7773,41095,14.4776,-0.0277745,14.4777,45.9087,2.111345295,,,
0.129375,-0.0126,22.8054,10.7279,40815.1,14.6059,-0.0270992,14.606,45.8039,2.125989094,,,
0.130625,-0.0126,22.3882,10.6801,40544.6,14.7311,-0.0264505,14.7311,45.7022,2.140231229,,,
0.131875,-0.0126,21.973,10.6338,40282.6,14.8531,-0.0258266,14.8531,45.6033,2.154051033,,,
0.133125,-0.0126,21.5606,10.5889,40028.7,14.9721,-0.0252262,14.9721,45.5071,2.167478789,,,
0.134375,-0.0126,21.1513,10.5451,39782.1,15.0882,-0.0246473,15.0882,45.4133,2.180521834,,,
0.135625,-0.0126,20.7456,10.5026,39542.5,15.2015,-0.0240888,15.2015,45.3218,2.193194997,,,
0.136875,-0.0126,20.3438,10.4611,39309.1,15.3121,-0.0235488,15.3121,45.2323,2.205504629,,,
0.138125,-0.0126,19.9462,10.4206,39081.6,15.4201,-0.0230264,15.4201,45.1448,2.217468847,,,
0.139375,-0.0126,19.5531,10.3811,38859.5,15.5255,-0.0225201,15.5255,45.0591,2.229082964,,,
0.140625,-0.0126,19.1647,10.3424,38642.4,15.6284,-0.0220293,15.6284,44.9751,2.240360484,,,
0.141875,-0.0126,18.7812,10.3044,38430.1,15.7289,-0.0215525,15.7289,44.8925,2.251306256,,,
0.143125,-0.0126,18.4027,10.2673,38222.2,15.8271,-0.0210899,15.8271,44.8115,2.261945742,,,
0.144375,-0.0126,18.0295,10.2308,38018.4,15.923,-0.0206397,15.923,44.7317,2.27226474,,,
0.145625,-0.0126,17.6616,10.1949,37818.6,16.0167,-0.0202026,16.0167,44.6533,2.282288448,,,
0.146875,-0.0126,17.299,10.1597,37622.4,16.1083,-0.0197765,16.1083,44.576,2.292020662,,,
0.148125,-0.0126,16.9419,10.1251,37429.7,16.1978,-0.0193627,16.1978,44.4998,2.301463503,,,
0.149375,-0.0126,16.5903,10.091,37240.3,16.2853,-0.0189582,16.2853,44.4247,2.310633248,,,
0.150625,-0.0126,16.2442,10.0574,37054,16.3707,-0.0185652,16.3708,44.3506,2.319513349,,,
0.151875,-0.0126,15.9036,10.0243,36870.9,16.4543,-0.0181795,16.4544,44.2775,2.3281482,,,
0.153125,-0.0126,15.5686,9.99171,36690.6,16.5361,-0.017805,16.5361,44.2053,2.336535125,,,
0.154375,-0.0126,15.2392,9.95959,36513.3,16.616,-0.0174358,16.616,44.1341,2.344666095,,,
0.155625,-0.0126,14.9153,9.92794,36339,16.6941,-0.0170782,16.6941,44.0638,2.352552484,,,
0.156875,-0.0126,14.5971,9.89677,36167.6,16.7706,-0.0167236,16.7706,43.9945,2.36022851,,,
0.158125,-0.0126,14.2843,9.86607,35999.1,16.8453,-0.0163827,16.8453,43.9261,2.367663083,,,
0.159375,-0.0126,13.9772,9.8359,35833.8,16.9185,-0.0160416,16.9185,43.8588,2.374908897,,,
0.160625,-0.0126,13.6756,9.80621,35671.5,16.9901,-0.0157189,16.9901,43.7925,2.381948867,,,
0.161875,-0.0126,13.3796,9.7771,35512.6,17.0602,-0.0153906,17.0602,43.7274,2.388807562,,,
0.163125,-0.0126,13.089,9.74843,35356.5,17.1287,-0.0150885,17.1287,43.6633,2.395463316,,,
0.164375,-0.0126,12.8039,9.72045,35204.4,17.196,-0.0147719,17.196,43.6006,2.401991791,,,
0.165625,-0.0126,12.5242,9.69278,35054.1,17.2616,-0.0144908,17.2616,43.5385,2.408287674,,,
0.166875,-0.0126,12.2501,9.66602,34909.1,17.3262,-0.0141848,17.3262,43.4783,2.41450995,,,
0.168125,-0.0126,11.9815,9.6392,34763.9,17.3891,-0.0138989,17.3891,43.418,2.420469618,,,
0.169375,-0.0126,11.7199,9.61374,34626.5,17.451,-0.0135625,17.451,43.3606,2.426404894,,,
0.170625,-0.0126,11.4639,9.5869,34481.8,17.5109,-0.0128839,17.5109,43.3001,2.431897582,,,
0.171875,-0.0126,11.2094,9.55935,34333.4,17.5692,-0.0121452,17.5692,43.2379,2.437068421,,,
0.173125,-0.0126,10.958,9.53158,34183.9,17.6259,-0.0114554,17.626,43.175,2.441964567,,,
0.174375,-0.0126,10.7106,9.50392,34035.1,17.6812,-0.0108336,17.6812,43.1123,2.446656782,,,
0.175625,-0.0126,10.4675,9.47659,33888.4,17.7351,-0.0102832,17.7351,43.0503,2.451169618,,,
0.176875,-0.0126,10.2286,9.44977,33744.4,17.7877,-0.00979641,17.7877,42.9893,2.455532192,,,
0.178125,-0.0126,9.99394,9.42355,33603.9,17.839,-0.00936823,17.839,42.9295,2.459755149,,,
0.179375,-0.0126,9.76351,9.398,33467.2,17.8893,-0.00898666,17.8893,42.8713,2.463900134,,,
0.180625,-0.0126,9.53722,9.37317,33334.5,17.9384,-0.0086484,17.9384,42.8145,2.467931165,,,
0.181875,-0.0126,9.31502,9.34907,33205.8,17.9866,-0.00834222,17.9866,42.7594,2.471905071,,,
0.183125,-0.0126,9.09678,9.32571,33081.4,18.0338,-0.00806864,18.0338,42.706,2.47580922,,,
0.184375,-0.0126,8.88246,9.3031,32961,18.0801,-0.00781667,18.0801,42.6541,2.47964874,,,
0.185625,-0.0126,8.67188,9.28122,32844.7,18.1254,-0.00759072,18.1254,42.6039,2.483420619,,,
0.186875,-0.0126,8.46502,9.26006,32732.4,18.17,-0.00737867,18.17,42.5553,2.487162107,,,
0.188125,-0.0126,8.26164,9.23959,32623.9,18.2137,-0.00718893,18.2137,42.5082,2.490841846,,,
0.189375,-0.0126,8.06178,9.21978,32519,18.2567,-0.00700672,18.2567,42.4626,2.49448806,,,
0.190625,-0.0126,7.86514,9.20061,32417.6,18.2988,-0.00684496,18.2988,42.4185,2.498074251,,,
0.191875,-0.0126,7.67181,9.18204,32319.4,18.3403,-0.00668469,18.3403,42.3756,2.501627424,,,
0.193125,-0.0126,7.48145,9.16403,32224.4,18.381,-0.00654443,18.381,42.3341,2.505130822,,,
0.194375,-0.0126,7.29423,9.14657,32132.3,18.4212,-0.00639936,18.4212,42.2937,2.50861121,,,
0.195625,-0.0126,7.10974,9.1296,32042.9,18.4605,-0.00627545,18.4605,42.2544,2.512014695,,,
0.196875,-0.0126,6.92825,9.11312,31956.1,18.4994,-0.00613996,18.4994,42.2163,2.515414886,,,
0.198125,-0.0126,6.74928,9.09709,31871.8,18.5373,-0.00602883,18.5373,42.1791,2.518715836,,,
0.199375,-0.0126,6.57321,9.0815,31789.8,18.575,-0.00589874,18.575,42.1429,2.522031745,,,
0.200625,-0.0126,6.39944,9.06633,31710.2,18.6117,-0.0057989,18.6117,42.1077,2.525254447,,,
0.201875,-0.0126,6.22851,9.05158,31633,18.6482,-0.0056717,18.6482,42.0735,2.528493006,,,
0.203125,-0.0126,6.05962,9.03724,31557.9,18.6836,-0.00558383,18.6836,42.0402,2.531620818,,,
0.204375,-0.0126,5.89353,9.02333,31485.2,18.7192,-0.00545835,18.7192,42.0078,2.534814482,,,
0.205625,-0.0126,5.72916,9.0098,31414.6,18.7534,-0.00538491,18.7534,41.9764,2.537862734,,,
0.206875,-0.0126,5.56753,8.9967,31346.2,18.788,-0.00526052,18.788,41.9459,2.541004612,,,
0.208125,-0.0126,5.40722,8.98396,31279.9,18.821,-0.00520495,18.821,41.9162,2.543964887,,,
0.209375,-0.0126,5.24961,8.97164,31215.8,18.8548,-0.0050803,18.8548,41.8875,2.547078518,,,
0.210625,-0.0126,5.09282,8.95963,31153.2,18.8866,-0.00504606,18.8866,41.8595,2.549952328,,,
0.211875,-0.0126,4.93872,8.94803,31092.9,18.9197,-0.00491795,18.9197,41.8324,2.553042436,,,
0.213125,-0.0126,4.78486,8.93662,31033.5,18.9504,-0.00490786,18.9504,41.8058,2.555829402,,,
0.214375,-0.0126,4.63373,8.92563,30976.3,18.9828,-0.00477049,18.9828,41.7801,2.558886971,,,
0.215625,-0.0126,4.48218,8.91468,30919.2,19.0123,-0.00478677,19.0123,41.7544,2.561549233,,,
0.216875,-0.0126,4.33355,8.90417,30864.4,19.0442,-0.0046318,19.0442,41.7298,2.564586855,,,
0.218125,-0.0126,4.18373,8.8935,30808.7,19.0724,-0.00467685,19.0724,41.7047,2.567096482,,,
0.219375,-0.0126,4.03719,8.88337,30755.8,19.104,-0.00449424,19.104,41.6809,2.570126423,,,
0.220625,-0.0126,3.88858,8.87279,30700.6,19.1308,-0.00457175,19.1308,41.656,2.572450144,,,
0.221875,-0.0126,3.74383,8.86299,30649.4,19.1622,-0.00435116,19.1622,41.6329,2.575481231,,,
0.223125,-0.0126,3.59596,8.85238,30594.1,19.1874,-0.00446678,19.1874,41.6078,2.577572126,,,
0.224375,-0.0126,3.45282,8.84296,30544.9,19.2189,-0.00419934,19.2189,41.5856,2.580655419,,,
0.225625,-0.0126,3.30521,8.83218,30488.8,19.2423,-0.00435978,19.2423,41.5602,2.582481964,,,
0.226875,-0.0126,3.16354,8.8233,30442.6,19.2741,-0.00404089,19.2741,41.5392,2.585660271,,,
0.228125,-0.0126,3.01567,8.81227,30385.4,19.2955,-0.00424993,19.2955,41.5132,2.587180589,,,
0.229375,-0.0126,2.87546,8.80419,30343.5,19.3281,-0.00388488,19.3281,41.4941,2.590557791,,,
0.230625,-0.0126,2.72665,8.79279,30284.6,19.347,-0.00413405,19.347,41.4673,2.59169496,,,
0.231875,-0.0126,2.58792,8.78585,30248.8,19.3809,-0.00375034,19.3809,41.4509,2.595380321,,,
0.233125,-0.0126,2.43721,8.77393,30187.5,19.3971,-0.00400036,19.3971,41.4228,2.596082008,,,
0.234375,-0.0126,2.3001,8.76855,30160,19.4328,-0.00367275,19.4328,41.4102,2.600200668,,,
0.235625,-0.0126,2.14592,8.75592,30095.1,19.4456,-0.00381927,19.4456,41.3804,2.600352748,,,
0.236875,-0.0126,2.01075,8.75252,30078,19.4839,-0.00371512,19.4839,41.3725,2.605059834,,,
0.238125,-0.0126,1.85034,8.73897,30008.6,19.4929,-0.00353361,19.4929,41.3406,2.604588294,,,
0.239375,-0.0126,1.71776,8.73786,30003.4,19.5344,-0.00398071,19.5344,41.3381,2.610001865,,,
0.240625,-0.0126,1.54581,8.72338,29929.3,19.5392,-0.00306004,19.5392,41.3039,2.608843095,,,
0.241875,-0.0126,1.41717,8.7245,29935.6,19.5847,-0.00461205,19.5847,41.3067,2.615065911,,,
0.243125,-0.0126,1.22265,8.70955,29859.1,19.5851,-0.00234349,19.5851,41.2714,2.613256767,,,
0.244375,-0.0126,1.09989,8.71208,29872.6,19.6348,-0.0057354,19.6348,41.2776,2.62021626,,,
0.245625,-0.0126,0.859037,8.69813,29801.3,19.6322,-0.00158477,19.6322,41.2446,2.618123754,,,
0.246875,-0.0126,0.737929,8.70004,29811.5,19.6857,-0.00730962,19.6857,41.2492,2.625502434,,,
0.248125,-0.0126,0.397013,8.69006,29760.5,19.6836,-0.00202256,19.6836,41.2257,2.623975967,,,
0.249375,-0.0126,0.209696,8.68848,29752.6,19.7423,-0.00939116,19.7423,41.222,2.631604297,,,