y	    RoughN	    ExpN	    SmoothN
1	    1.177199074	1.198686371	1.087962963
0.92	1.175226852	1.192692939	1.086981548
0.84	1.165189815	1.183103448	1.081958742
0.76	1.146694444	1.169917898	1.072612156
0.68	1.134203704	1.139950739	1.066228332
0.6	    1.102638889	1.106387521	1.049923886
0.52	1.061810185	1.056042693	1.028596635
0.44	1.010148148	1.004499179	1.001408671
0.36	0.979217593	0.946962233	0.985081079
0.32	0.943893519	0.907405583	0.966406424
0.28	0.902925926	0.875041051	0.944731974
0.24	0.854282407	0.835484401	0.918974469
0.18	0.794388889	0.76955665	0.887259035
0.14	0.716009259	0.708423645	0.845757231
0.06	0.511402778	0.490262726	0.737963645